model,train dataset,test dataset,features,accuracy,precision,recall,FPR,F1 score,notes
per_dd_DQN_1.pkl,nslkdd,nslkdd,117,0.7576967438559135,0.9312422102201912,0.6513148336481186,0.07543299908842298,0.7665213302556211,
per_dd_DQN_2.pkl,nslkdd,nslkdd,117,0.7940732854227663,0.9684254258412962,0.6824769433465085,0.03423423423423423,0.800686990124517,
per_dd_DQN_3.pkl,nslkdd,nslkdd,117,0.7777482033537397,0.9692563356875779,0.6643884379894632,0.03483992467043315,0.7883754329644337,
per_dd_DQN_4.pkl,nslkdd,nslkdd,117,0.7705616183124834,0.9686331533028666,0.6569456184840801,0.03618499880182123,0.7829079919408999,
dueling_DQN_1.pkl,nslkdd,nslkdd,117,0.7754413982787686,0.9690486082260075,0.6619838229033631,0.035274621212121215,0.7866115841834583,
dueling_DQN_2.pkl,nslkdd,nslkdd,117,0.7638186496317985,0.9694640631491483,0.6498189919242551,0.0359501100513573,0.7780926975658552,
dueling_DQN_3.pkl,nslkdd,nslkdd,117,0.7836039393132819,0.9678022434565849,0.6710355753996832,0.03581330868761553,0.7925491196733859,
dueling_DQN_4.pkl,nslkdd,nslkdd,117,0.7715375743057404,0.9690486082260075,0.6578761810746017,0.035645933014354064,0.7837043259134818,
double_DQN_1.pkl,nslkdd,nslkdd,117,0.7862656374767102,0.9684254258412962,0.6737967914438503,0.034926470588235295,0.7946816670928151,
double_DQN_2.pkl,nslkdd,nslkdd,117,0.7830715996805963,0.9671790610718737,0.6706034855249892,0.03650646950092421,0.7920387854044398,
double_DQN_3.pkl,nslkdd,nslkdd,117,0.7676337503327123,0.9678022434565849,0.6540783377790257,0.037367405978784955,0.7805981402362402,
double_DQN_4.pkl,nslkdd,nslkdd,117,0.7686097063259693,0.9653095139177399,0.6556151241534989,0.03992349988046856,0.7808771635019324,
dd_DQN_1.pkl,nslkdd,nslkdd,117,0.7759737379114542,0.9686331533028666,0.6626403296859457,0.035663675011809164,0.7869378111551768,
dd_DQN_2.pkl,nslkdd,nslkdd,117,0.7682548132375122,0.9686331533028666,0.6545480067377878,0.03641186399807089,0.7812028815546993,
dd_DQN_3.pkl,nslkdd,nslkdd,117,0.7642622659923698,0.9696717906107187,0.6502298370246552,0.03567937438905181,0.778454098223964,
dd_DQN_4.pkl,nslkdd,nslkdd,117,0.767545027060598,0.9688408807644371,0.6537706756377909,0.03625815808556925,0.7807164378975562,
pn_dd_DQN_1.pkl,nslkdd,nslkdd,117,0.7795226687960252,0.9700872455338596,0.666096134645557,0.03380281690140845,0.7898520084566596,
pn_dd_DQN_2.pkl,nslkdd,nslkdd,117,0.7855558512997959,0.9686331533028666,0.6729686823495454,0.03477660064486412,0.7941752533424168,
pn_dd_DQN_3.pkl,nslkdd,nslkdd,117,0.7573418507674563,0.9682176983797258,0.6435178793317686,0.03798411122144985,0.7731608194409887,
pn_dd_DQN_4.pkl,nslkdd,nslkdd,117,0.7597373791145418,0.9696717906107187,0.645643153526971,0.036129670873546155,0.7751577548987048,
pn_per_dd_DQN_1.pkl,nslkdd,nslkdd,117,0.7778369266258539,0.9678022434565849,0.6648116438356164,0.03635937133474079,0.7881915073591609,
pn_per_dd_DQN_2.pkl,nslkdd,nslkdd,117,0.7741992724691686,0.9684254258412962,0.6608079376328845,0.036053130929791274,0.7855758699132193,
pn_per_dd_DQN_3.pkl,nslkdd,nslkdd,117,0.7694082157749977,0.9661404237640216,0.6562720474107521,0.03895793499043977,0.7816149903369465,
pn_per_dd_DQN_4.pkl,nslkdd,nslkdd,117,0.7613343980125987,0.9694640631491483,0.6472954230235783,0.03619798079290815,0.7762807717897539,
vanilla_DQN_1.pkl,nslkdd,nslkdd,117,0.7686097063259693,0.9692563356875779,0.6547852932921695,0.03570566948130278,0.781574539363484,
vanilla_DQN_2.pkl,nslkdd,nslkdd,117,0.7709165114009404,0.9686331533028666,0.6573160417254017,0.03615034713909505,0.7831709774941216,
vanilla_DQN_3.pkl,nslkdd,nslkdd,117,0.7672788572442552,0.9694640631491483,0.6533669326613468,0.03561046511627907,0.7806305929580999,
vanilla_DQN_4.pkl,nslkdd,nslkdd,117,0.7631088634548843,0.9700872455338596,0.6489716509171762,0.035337423312883434,0.7776852622814322,
default_A2C_2.pkl,nslkdd,nslkdd,117,0.731168485493745,0.963855421686747,0.6189967982924226,0.04609271523178808,0.7538586515028431,
default_A2C_3.pkl,nslkdd,nslkdd,117,0.7489131399166001,0.9603240548400499,0.6366014871936105,0.047642803691693686,0.7656508777740975,
default_A2C_4.pkl,nslkdd,nslkdd,117,0.7175938248602608,0.9227253842958039,0.6124362332827795,0.09258337481333997,0.7362227562774508,
default_A2C_1.pkl,nslkdd,nslkdd,117,0.7252240262620886,0.9734108849189863,0.6121489222730242,0.035398230088495575,0.7516240275884193,
dd_DQN_1.pkl,cicddos2019,cicddos2019,67,0.9888148389802861,0.9850398471361327,0.9925334585583471,0.01484805032610204,0.9887724550898203,
dd_DQN_1.pkl,cicddos2019,cicdos2017,67,0.5609720605355064,0.9844295692665891,0.5330129215253703,0.10171102661596958,0.6915763647515845,
dd_DQN_1.pkl,cicddos2019,cicids2017,67,0.534185797549661,0.9389853693350779,0.5188913647926485,0.3204535515711876,0.668412340232766,
dd_DQN_2.pkl,cicddos2019,cicddos2019,67,0.9884886051172111,0.9835484923335042,0.9933631442692398,0.016290553325026536,0.9884314552011615,
dd_DQN_2.pkl,cicddos2019,cicdos2017,67,0.5453288707799767,0.9845750873108265,0.5241304516228987,0.12694610778443113,0.6840907941964511,
dd_DQN_2.pkl,cicddos2019,cicids2017,67,0.4730670869513501,0.8533008207446175,0.484701271937974,0.61243947858473,0.61822921716274,
dd_DQN_3.pkl,cicddos2019,cicddos2019,67,0.9896770284755557,0.9857855245374469,0.9935180836073274,0.01410469848316685,0.9896366996514375,
dd_DQN_3.pkl,cicddos2019,cicdos2017,67,0.5562427240977881,0.9871944121071012,0.5302071121531848,0.09272918861959958,0.6898866120913205,
dd_DQN_3.pkl,cicddos2019,cicids2017,67,0.5188325205186154,0.8777090519804924,0.5109634620511524,0.43327643972438207,0.6459078743793261,
dd_DQN_4.pkl,cicddos2019,cicddos2019,67,0.9891876776809433,0.9846204035978935,0.9936973801796717,0.015240382395049185,0.9891380682616226,
dd_DQN_4.pkl,cicddos2019,cicdos2017,67,0.5582072176949942,0.9858847497089639,0.5313725490196078,0.09758551307847083,0.6905514218734073,
dd_DQN_4.pkl,cicddos2019,cicids2017,67,0.49890864755560843,0.8581063399547996,0.4993649002703068,0.5038754778348011,0.6313329876539969,
double_DQN_1.pkl,cicddos2019,cicddos2019,67,0.9895372139628094,0.984806822948222,0.9942128540510021,0.01505078485687904,0.9894874856594319,
double_DQN_1.pkl,cicddos2019,cicdos2017,67,0.5568975552968568,0.9823923166472642,0.5307389937106918,0.1181640625,0.6891588403429971,
double_DQN_1.pkl,cicddos2019,cicids2017,67,0.49173307957654333,0.8588081360770786,0.4952328691954181,0.5310961968680089,0.6282084747237449,
double_DQN_2.pkl,cicddos2019,cicddos2019,67,0.988768234142704,0.9855525003495362,0.991932079365824,0.01435517480898356,0.988731999251917,
double_DQN_2.pkl,cicddos2019,cicdos2017,67,0.552604772991851,0.9871944121071012,0.5281432463993772,0.09788654060066741,0.6881371405386214,
double_DQN_2.pkl,cicddos2019,cicids2017,67,0.46296241227548474,0.8373319852503865,0.4788204045124187,0.6474069164674415,0.6092480521363212,
double_DQN_3.pkl,cicddos2019,cicddos2019,67,0.9888614438178683,0.9851796616488792,0.9924879102305273,0.014712005551700208,0.9888202825334457,
double_DQN_3.pkl,cicddos2019,cicdos2017,67,0.5597351571594877,0.9874854481955763,0.5321935534467885,0.0866062437059416,0.6916373643173827,
double_DQN_3.pkl,cicddos2019,cicids2017,67,0.47359938146782443,0.8501189484953016,0.48494008603726474,0.6069020325594837,0.6175858076112128,
double_DQN_4.pkl,cicddos2019,cicddos2019,67,0.9895139115440182,0.9853194761616256,0.9936551205527095,0.014558395341313491,0.9894697430617307,
double_DQN_4.pkl,cicddos2019,cicdos2017,67,0.5563882421420256,0.9829743888242142,0.530427954456223,0.1159563924677899,0.6890396287040343,
double_DQN_4.pkl,cicddos2019,cicids2017,67,0.5006780064232187,0.8729332698941359,0.5003886513797124,0.49734624516970066,0.6361303856005479,
dueling_DQN_1.pkl,cicddos2019,cicddos2019,67,0.9902362865265415,0.9866244116139256,0.9938033987419022,0.013279659448454563,0.9902008933791716,
dueling_DQN_1.pkl,cicddos2019,cicdos2017,67,0.5512951105937136,0.9825378346915018,0.527541214157356,0.12698412698412698,0.6864928066697168,
dueling_DQN_1.pkl,cicddos2019,cicids2017,67,0.5189395741643869,0.8904900678006423,0.5108654485899995,0.4262761893737701,0.6492579543606699,
dueling_DQN_2.pkl,cicddos2019,cicddos2019,67,0.9885585123735844,0.9837815165214149,0.9932712215320911,0.016064998615086326,0.9885035940902386,
dueling_DQN_2.pkl,cicddos2019,cicdos2017,67,0.5534051222351571,0.984720605355064,0.528671875,0.11122881355932203,0.6879829198861326,
dueling_DQN_2.pkl,cicddos2019,cicids2017,67,0.4999018674913762,0.864809087665041,0.4999432699217125,0.5003632041207159,0.6336028375284047,
dueling_DQN_3.pkl,cicddos2019,cicddos2019,67,0.9885352099547933,0.9867642261266719,0.9902717365885599,0.013189058654158732,0.9885148699752555,
dueling_DQN_3.pkl,cicddos2019,cicdos2017,67,0.5461292200232829,0.9874854481955763,0.5245014685422785,0.10669975186104218,0.6851085310449267,
dueling_DQN_3.pkl,cicddos2019,cicids2017,67,0.5071636731295349,0.9338646366123469,0.503865148204126,0.451133920240172,0.6545622807547767,
dueling_DQN_4.pkl,cicddos2019,cicddos2019,67,0.9901896816889593,0.9865778067763434,0.9937564547929771,0.013325930038867296,0.990154119600552,
dueling_DQN_4.pkl,cicddos2019,cicdos2017,67,0.560826542491269,0.9880675203725262,0.5327997489014438,0.082,0.6922920065252856,
dueling_DQN_4.pkl,cicddos2019,cicids2017,67,0.4943796835970025,0.8993338884263115,0.49689469568017663,0.5295663600525624,0.6401161584733458,
per_dd_DQN_1.pkl,cicddos2019,cicddos2019,67,0.9903294962017057,0.9859719438877755,0.9946403385049365,0.01390685640362225,0.990287172045779,
per_dd_DQN_1.pkl,cicddos2019,cicdos2017,67,0.5638824214202561,0.9873399301513388,0.5345887173022377,0.08269961977186312,0.6936209364138214,
per_dd_DQN_1.pkl,cicddos2019,cicids2017,67,0.5095872487213037,0.914261924586654,0.5052987272536026,0.44971300224606936,0.6508709385135192,
per_dd_DQN_2.pkl,cicddos2019,cicddos2019,67,0.9897935405695111,0.9867176212890898,0.9928253223915592,0.013201167261105193,0.9897620494600532,
per_dd_DQN_2.pkl,cicddos2019,cicdos2017,67,0.5562427240977881,0.9832654249126892,0.5303351385291578,0.11465603190428714,0.6890327843777087,
per_dd_DQN_2.pkl,cicddos2019,cicids2017,67,0.552596050909956,0.9788925895087427,0.5283905038604151,0.14319144643937864,0.6863177207668331,
per_dd_DQN_3.pkl,cicddos2019,cicddos2019,67,0.9903527986204969,0.9858787342126113,0.9947801551845756,0.013996027530139961,0.9903094424418332,
per_dd_DQN_3.pkl,cicddos2019,cicdos2017,67,0.5666472642607684,0.9866123399301513,0.536222714330908,0.08363636363636363,0.6948145111703217,
per_dd_DQN_3.pkl,cicddos2019,cicids2017,67,0.54051088378732,0.9148150350898061,0.5231675005356943,0.33885353332229295,0.6656568956899369,
per_dd_DQN_4.pkl,cicddos2019,cicddos2019,67,0.9908887542526914,0.9873234841776577,0.9944141945174615,0.012586765386395188,0.9908561539720774,
per_dd_DQN_4.pkl,cicddos2019,cicdos2017,67,0.5542782305005821,0.9863213038416764,0.5291178766588602,0.1006423982869379,0.6887511431765065,
